tt0	status	gates	wall_s	chain
0188	sat	12	149.25	F = n10 ; FN = n11 ; n11 = n0 | n7 ; n10 = n8 | n9 ; n9 = n3 & n6 ; n8 = b & n2 ; n7 = n1 | n5 ; n6 = bN & cN ; n5 = aN & n4 ; n4 = c | dN ; n3 = aN & d ; n2 = a & dN ; n1 = b & d ; n0 = a & bN
018a	sat	12	138.14	F = n10 ; FN = n11 ; n11 = n3 | n6 ; n10 = n4 & n9 ; n9 = n7 & n8 ; n8 = aN | dN ; n7 = b | cN ; n6 = n0 | n5 ; n5 = a & d ; n4 = a | n2 ; n3 = aN & n1 ; n2 = bN & d ; n1 = b | dN ; n0 = bN & c
018e	sat	14	339.94	F = n13 ; FN = n10 ; n13 = n6 & n12 ; n12 = n5 | n11 ; n11 = dN & n8 ; n10 = n7 | n9 ; n9 = d & n8 ; n8 = a | n1 ; n7 = n3 | n4 ; n6 = b | cN ; n5 = d & n0 ; n4 = dN & n0 ; n3 = c & n2 ; n2 = aN | bN ; n1 = b & cN ; n0 = aN & bN
0196	timeout		28800.11	
0198	ub	14	16579.33	F = n13 ; FN = n12 ; n13 = n8 & n11 ; n12 = n7 | n9 ; n11 = n4 | n10 ; n10 = d & n6 ; n9 = dN & n6 ; n8 = aN | b ; n7 = n1 | n5 ; n6 = bN & n3 ; n5 = d & n2 ; n4 = dN & n2 ; n3 = a | cN ; n2 = a | n0 ; n1 = aN & b ; n0 = bN & c
019a	ub	15	22852.35	F = n13 ; FN = n14 ; n14 = n7 & n10 ; n13 = n9 & n12 ; n12 = dN | n11 ; n11 = bN & cN ; n10 = aN | n5 ; n9 = n2 | n8 ; n8 = aN & n5 ; n7 = n4 | n6 ; n6 = a | n1 ; n5 = d | n3 ; n4 = d & n3 ; n3 = bN & c ; n2 = a & n1 ; n1 = b | n0 ; n0 = cN & dN
019e	timeout		28800.11	
01a8	sat	12	161.59	F = n11 ; FN = n6 ; n11 = n8 & n10 ; n10 = d | n9 ; n9 = a & n3 ; n8 = dN | n7 ; n7 = aN & n0 ; n6 = n4 | n5 ; n5 = d & n3 ; n4 = n1 | n2 ; n3 = b | c ; n2 = aN & dN ; n1 = a & n0 ; n0 = bN & cN
01aa	sat	10	8.17	F = n7 ; FN = n9 ; n9 = n6 | n8 ; n8 = aN & n4 ; n7 = n1 | n5 ; n6 = a & d ; n5 = bN & n3 ; n4 = b | n2 ; n3 = d & n0 ; n2 = c | dN ; n1 = a & dN ; n0 = aN & cN
01ac	sat	14	327.49	F = n11 ; FN = n13 ; n13 = n6 | n12 ; n12 = n2 | n4 ; n11 = n9 & n10 ; n10 = n0 | n8 ; n9 = dN | n7 ; n8 = cN & n5 ; n7 = aN & bN ; n6 = cN & n1 ; n5 = b | d ; n4 = d & n3 ; n3 = a | b ; n2 = aN & c ; n1 = bN & dN ; n0 = a & c
01ae	sat	12	146.89	F = n9 ; FN = n11 ; n11 = n6 | n10 ; n10 = d & n7 ; n9 = n5 | n8 ; n8 = dN & n7 ; n7 = a | n2 ; n6 = n0 | n3 ; n5 = d & n4 ; n4 = cN & n1 ; n3 = dN & n1 ; n2 = b & cN ; n1 = aN & bN ; n0 = aN & c
01bc	timeout		28800.11	
01be	ub	15	22403.39	F = n11 ; FN = n14 ; n14 = n8 | n13 ; n13 = aN & n12 ; n12 = n4 | n9 ; n11 = n7 | n10 ; n10 = dN & n6 ; n9 = dN & n3 ; n8 = d & n6 ; n7 = n2 & n3 ; n6 = n1 | n5 ; n5 = b & cN ; n4 = b & c ; n3 = bN & cN ; n2 = aN & d ; n1 = a | n0 ; n0 = bN & c
01e8	timeout		28800.10	
01ea	sat	14	332.18	F = n10 ; FN = n13 ; n13 = n11 | n12 ; n12 = n1 & n6 ; n11 = aN & n3 ; n10 = n8 & n9 ; n9 = dN | n5 ; n8 = n4 & n7 ; n7 = c | n2 ; n6 = d | n5 ; n5 = aN & cN ; n4 = d | n0 ; n3 = c & n2 ; n2 = a | bN ; n1 = dN | n0 ; n0 = a | b
01ee	sat	10	7.11	F = n5 ; FN = n9 ; n9 = n7 | n8 ; n8 = d & n6 ; n7 = dN & n3 ; n6 = c | n0 ; n5 = n1 | n4 ; n4 = n2 & n3 ; n3 = aN & bN ; n2 = cN & d ; n1 = dN & n0 ; n0 = a | b
01fe	sat	10	7.38	F = n8 ; FN = n9 ; n9 = n3 | n6 ; n8 = n5 | n7 ; n7 = d & n4 ; n6 = dN & n4 ; n5 = dN & n1 ; n4 = aN & n2 ; n3 = d & n1 ; n2 = bN & cN ; n1 = c | n0 ; n0 = a | b
022e	sat	12	189.06	F = n5 ; FN = n11 ; n11 = n8 & n10 ; n10 = d | n9 ; n9 = bN | c ; n8 = n6 | n7 ; n7 = c & d ; n6 = aN | b ; n5 = n3 | n4 ; n4 = a & n2 ; n3 = dN & n0 ; n2 = bN & n1 ; n1 = cN | dN ; n0 = b & cN
023e	sat	12	191.23	F = n10 ; FN = n11 ; n11 = n7 | n8 ; n10 = n4 & n9 ; n9 = dN | n5 ; n8 = b & c ; n7 = n2 | n6 ; n6 = aN & n5 ; n5 = bN & cN ; n4 = n1 & n3 ; n3 = bN | cN ; n2 = d & n0 ; n1 = a | n0 ; n0 = b | c
0246	sat	10	19.21	F = n9 ; FN = n8 ; n9 = n5 | n7 ; n8 = n1 & n3 ; n7 = dN & n6 ; n6 = aN & b ; n5 = cN & n4 ; n4 = a & bN ; n3 = b | n2 ; n2 = aN | c ; n1 = d | n0 ; n0 = a | bN
024e	sat	10	13.02	F = n8 ; FN = n9 ; n9 = n1 | n6 ; n8 = n5 & n7 ; n7 = n0 | n2 ; n6 = n3 & n4 ; n5 = bN | dN ; n4 = a | bN ; n3 = aN | c ; n2 = a & cN ; n1 = b & d ; n0 = aN & b
0256	sat	10	13.40	F = n8 ; FN = n9 ; n9 = n3 | n4 ; n8 = n6 & n7 ; n7 = a | n0 ; n6 = n1 | n5 ; n5 = aN & dN ; n4 = a & n0 ; n3 = aN & n2 ; n2 = d | n1 ; n1 = bN & cN ; n0 = b | c
025a	sat	12	193.51	F = n6 ; FN = n11 ; n11 = n7 | n10 ; n10 = n8 & n9 ; n9 = aN | n3 ; n8 = cN | d ; n7 = a & c ; n6 = n4 & n5 ; n5 = bN | dN ; n4 = n1 | n2 ; n3 = b & d ; n2 = a & cN ; n1 = c & n0 ; n0 = aN & dN
025e	sat	12	190.66	F = n11 ; FN = n6 ; n11 = n7 | n10 ; n10 = n8 & n9 ; n9 = aN | cN ; n8 = dN & n4 ; n7 = a & n0 ; n6 = n1 | n5 ; n5 = n2 & n3 ; n4 = b | c ; n3 = aN | b ; n2 = d | n0 ; n1 = a & c ; n0 = bN & cN
026e	sat	14	1013.52	F = n11 ; FN = n13 ; n13 = n9 | n12 ; n12 = b & d ; n11 = n4 | n10 ; n10 = n6 & n8 ; n9 = n5 | n7 ; n8 = a & bN ; n7 = n2 & n3 ; n6 = dN | n0 ; n5 = aN & bN ; n4 = dN & n1 ; n3 = a & c ; n2 = b | d ; n1 = b & n0 ; n0 = aN | cN
027e	sat	14	1094.68	F = n13 ; FN = n7 ; n13 = n8 & n12 ; n12 = n10 & n11 ; n11 = a | n1 ; n10 = cN | n9 ; n9 = aN | bN ; n8 = dN | n5 ; n7 = n4 & n6 ; n6 = d | n5 ; n5 = n2 & n3 ; n4 = aN | n1 ; n3 = cN | n0 ; n2 = bN | c ; n1 = b | c ; n0 = a & b
0296	timeout		28800.11	
029e	timeout		28800.10	
02ae	sat	10	15.89	F = n9 ; FN = n4 ; n9 = n7 & n8 ; n8 = a | n5 ; n7 = dN | n6 ; n6 = cN & n0 ; n5 = b & cN ; n4 = n1 | n3 ; n3 = d & n2 ; n2 = b | c ; n1 = aN & n0 ; n0 = bN | c
02be	sat	12	193.93	F = n10 ; FN = n11 ; n11 = n4 | n6 ; n10 = n5 & n9 ; n9 = a | n8 ; n8 = n0 & n7 ; n7 = bN | cN ; n6 = aN & n3 ; n5 = dN | n1 ; n4 = d & n0 ; n3 = n1 | n2 ; n2 = b & c ; n1 = bN & cN ; n0 = b | c
02ce	sat	8	0.38	F = n4 ; FN = n7 ; n7 = n0 & n6 ; n6 = c | n5 ; n5 = aN | b ; n4 = n1 | n3 ; n3 = bN & n2 ; n2 = a & cN ; n1 = b & dN ; n0 = bN | d
02d6	sat	14	1040.46	F = n13 ; FN = n11 ; n13 = n9 & n12 ; n12 = n2 | n3 ; n11 = n6 | n10 ; n10 = b & n4 ; n9 = n4 | n8 ; n8 = b | n7 ; n7 = aN & c ; n6 = n0 & n5 ; n5 = d | n2 ; n4 = a & cN ; n3 = dN & n0 ; n2 = bN & n1 ; n1 = a | cN ; n0 = aN | c
02de	sat	12	190.90	F = n11 ; FN = n9 ; n11 = n8 & n10 ; n10 = n2 & n4 ; n9 = n5 & n7 ; n8 = cN | n6 ; n7 = c | n6 ; n6 = aN | b ; n5 = d | n3 ; n4 = dN | n3 ; n3 = bN & n0 ; n2 = b | n1 ; n1 = a | c ; n0 = a | cN
02ea	sat	10	15.56	F = n4 ; FN = n9 ; n9 = n6 | n8 ; n8 = aN & n7 ; n7 = bN | cN ; n6 = d & n5 ; n5 = b | c ; n4 = n2 & n3 ; n3 = dN | n0 ; n2 = a | n1 ; n1 = b & c ; n0 = bN & cN
02ee	sat	8	0.34	F = n7 ; FN = n3 ; n7 = n5 & n6 ; n6 = a | b ; n5 = dN | n4 ; n4 = bN & cN ; n3 = n1 | n2 ; n2 = d & n0 ; n1 = aN & bN ; n0 = b | c
02fe	sat	8	0.46	F = n6 ; FN = n7 ; n7 = n1 | n3 ; n6 = n4 | n5 ; n5 = dN & n2 ; n4 = a & n0 ; n3 = d & n2 ; n2 = b | c ; n1 = aN & n0 ; n0 = bN & cN
033c	sat	12	191.58	F = n9 ; FN = n11 ; n11 = n4 & n10 ; n10 = dN | n6 ; n9 = n5 & n8 ; n8 = n1 | n7 ; n7 = dN & n6 ; n6 = b | c ; n5 = bN | cN ; n4 = n2 | n3 ; n3 = b & c ; n2 = d | n0 ; n1 = d & n0 ; n0 = bN & cN
033e	sat	14	321.86	F = n13 ; FN = n11 ; n13 = n5 | n12 ; n12 = n3 & n6 ; n11 = n9 | n10 ; n10 = c & d ; n9 = n7 | n8 ; n8 = b & n6 ; n7 = aN & n2 ; n6 = c | d ; n5 = n1 & n4 ; n4 = a | b ; n3 = bN & n0 ; n2 = bN & n1 ; n1 = cN & dN ; n0 = cN | dN
0356	sat	10	5.34	F = n8 ; FN = n9 ; n9 = n5 | n6 ; n8 = n4 & n7 ; n7 = n0 | n1 ; n6 = n0 & n1 ; n5 = n2 & n3 ; n4 = n2 | n3 ; n3 = a | d ; n2 = b | c ; n1 = bN & cN ; n0 = aN & dN
0358	sat	14	357.59	F = n12 ; FN = n13 ; n13 = n6 | n10 ; n12 = n7 & n11 ; n11 = n0 | n1 ; n10 = n8 | n9 ; n9 = c & n4 ; n8 = n0 & n1 ; n7 = n3 & n5 ; n6 = dN & n2 ; n5 = c | n4 ; n4 = a | d ; n3 = dN | n2 ; n2 = bN & cN ; n1 = b & cN ; n0 = aN | d
035a	sat	12	194.27	F = n11 ; FN = n8 ; n11 = n0 & n10 ; n10 = n6 & n9 ; n9 = c | n5 ; n8 = n4 & n7 ; n7 = cN | n5 ; n6 = cN | n3 ; n5 = a | d ; n4 = c | n3 ; n3 = n1 & n2 ; n2 = aN | d ; n1 = b | dN ; n0 = bN | dN
035e	sat	14	325.76	F = n13 ; FN = n12 ; n13 = n4 | n7 ; n12 = n10 | n11 ; n11 = n8 | n9 ; n10 = d & n3 ; n9 = a & c ; n8 = n1 & n6 ; n7 = n0 & n5 ; n6 = bN & cN ; n5 = cN & n2 ; n4 = n1 & n3 ; n3 = b | c ; n2 = bN | dN ; n1 = aN & dN ; n0 = a | d
0368	timeout		28800.11	
036a	timeout		28800.11	
036c	sat	14	1046.21	F = n13 ; FN = n11 ; n13 = n8 | n12 ; n12 = b & n3 ; n11 = n9 | n10 ; n10 = bN & n3 ; n9 = n5 | n6 ; n8 = bN & n7 ; n7 = n1 & n4 ; n6 = b & n1 ; n5 = c & d ; n4 = cN | dN ; n3 = dN & n2 ; n2 = aN | cN ; n1 = d | n0 ; n0 = a & c
036e	ub	14	21833.45	F = n13 ; FN = n11 ; n13 = n4 | n12 ; n12 = n3 & n10 ; n11 = n8 | n9 ; n10 = n2 | n6 ; n9 = n1 & n7 ; n8 = b & d ; n7 = n2 | n5 ; n6 = cN & n1 ; n5 = c & n3 ; n4 = bN & n0 ; n3 = b | d ; n2 = aN & dN ; n1 = bN | n0 ; n0 = a & dN
037c	sat	14	1106.64	F = n13 ; FN = n12 ; n13 = n9 & n11 ; n12 = n6 | n7 ; n11 = bN | n10 ; n10 = aN | cN ; n9 = n4 & n8 ; n8 = dN | n5 ; n7 = n1 & n3 ; n6 = dN & n5 ; n5 = bN & cN ; n4 = d | n1 ; n3 = d | n2 ; n2 = c & n0 ; n1 = b | c ; n0 = a & b
037e	timeout		28800.11	
0396	timeout		28800.10	
039a	sat	14	339.44	F = n12 ; FN = n13 ; n13 = n5 & n11 ; n12 = n9 & n10 ; n11 = n3 | n7 ; n10 = n6 | n8 ; n9 = bN | dN ; n8 = n3 & n7 ; n7 = a | d ; n6 = n2 & n4 ; n5 = n2 | n4 ; n4 = aN & dN ; n3 = b | cN ; n2 = n0 & n1 ; n1 = b | c ; n0 = bN | d
039e	timeout		28800.09	
03ae	sat	12	190.57	F = n7 ; FN = n11 ; n11 = n9 & n10 ; n10 = d | n8 ; n9 = dN | n3 ; n8 = aN & n4 ; n7 = n2 | n6 ; n6 = dN & n5 ; n5 = a | n1 ; n4 = bN | c ; n3 = b | c ; n2 = bN & n0 ; n1 = b & cN ; n0 = cN & d
03be	sat	14	333.83	F = n12 ; FN = n13 ; n13 = n7 | n9 ; n12 = n10 & n11 ; n11 = n5 | n8 ; n10 = dN | n3 ; n9 = d & n1 ; n8 = n1 & n6 ; n7 = n0 & n4 ; n6 = bN | cN ; n5 = a | d ; n4 = n2 | n3 ; n3 = bN & cN ; n2 = b & c ; n1 = b | c ; n0 = aN & dN
03c0	sat	10	11.26	F = n9 ; FN = n4 ; n9 = n6 | n8 ; n8 = bN & n7 ; n7 = cN & d ; n6 = dN & n5 ; n5 = b & c ; n4 = n0 | n3 ; n3 = n1 & n2 ; n2 = c | dN ; n1 = bN | cN ; n0 = b & d
03c2	sat	12	190.83	F = n7 ; FN = n11 ; n11 = n9 | n10 ; n10 = b & n8 ; n9 = bN & n5 ; n8 = cN | d ; n7 = n4 & n6 ; n6 = b | cN ; n5 = c | n2 ; n4 = n1 | n3 ; n3 = bN & n0 ; n2 = aN & dN ; n1 = c & dN ; n0 = a | d
03c6	sat	12	188.38	F = n6 ; FN = n11 ; n11 = n9 & n10 ; n10 = n3 | n8 ; n9 = d | n7 ; n8 = b | c ; n7 = bN | n1 ; n6 = n4 & n5 ; n5 = b | n1 ; n4 = bN | n3 ; n3 = dN & n2 ; n2 = aN | c ; n1 = cN & n0 ; n0 = a | d
03ca	sat	12	188.49	F = n9 ; FN = n11 ; n11 = n8 | n10 ; n10 = dN & n3 ; n9 = n4 & n7 ; n8 = n0 | n5 ; n7 = n1 | n6 ; n6 = b & dN ; n5 = bN & c ; n4 = d | n2 ; n3 = aN & cN ; n2 = a | c ; n1 = bN & cN ; n0 = b & d
03cc	sat	8	0.32	F = n7 ; FN = n5 ; n7 = n3 & n6 ; n6 = b | d ; n5 = n2 | n4 ; n4 = d & n1 ; n3 = dN | n0 ; n2 = bN & dN ; n1 = b | c ; n0 = bN & cN
03ce	sat	10	11.83	F = n8 ; FN = n9 ; n9 = n0 | n3 ; n8 = n6 | n7 ; n7 = b & dN ; n6 = n4 & n5 ; n5 = a | d ; n4 = bN & cN ; n3 = bN & n2 ; n2 = c | n1 ; n1 = aN & dN ; n0 = b & d
03d4	sat	14	1082.82	F = n12 ; FN = n13 ; n13 = n2 | n9 ; n12 = n10 | n11 ; n11 = d & n1 ; n10 = dN & n8 ; n9 = dN & n7 ; n8 = n4 | n6 ; n7 = n3 & n5 ; n6 = b & c ; n5 = a | n1 ; n4 = aN & n0 ; n3 = bN | cN ; n2 = d & n0 ; n1 = bN & cN ; n0 = b | c
03d6	ub	14	18295.37	F = n13 ; FN = n11 ; n13 = n5 & n12 ; n12 = n2 | n9 ; n11 = n8 & n10 ; n10 = n4 | n9 ; n9 = d | n7 ; n8 = n2 | n3 ; n7 = a & n6 ; n6 = bN | cN ; n5 = n3 | n4 ; n4 = bN & cN ; n3 = dN & n1 ; n2 = b | c ; n1 = aN | n0 ; n0 = b & c
03d8	sat	14	1064.55	F = n7 ; FN = n13 ; n13 = n10 & n12 ; n12 = c | n11 ; n11 = b | dN ; n10 = n8 | n9 ; n9 = a & bN ; n8 = d | n5 ; n7 = n3 | n6 ; n6 = d & n4 ; n5 = aN & cN ; n4 = bN & cN ; n3 = n0 & n2 ; n2 = dN & n1 ; n1 = aN | b ; n0 = a | c
03da	sat	14	1011.65	F = n11 ; FN = n13 ; n13 = n4 | n12 ; n12 = dN & n7 ; n11 = n8 | n10 ; n10 = dN & n9 ; n9 = n5 & n6 ; n8 = bN & n2 ; n7 = aN & cN ; n6 = aN | b ; n5 = a | c ; n4 = n1 & n3 ; n3 = b | c ; n2 = cN & n1 ; n1 = d | n0 ; n0 = a & bN
03dc	sat	12	188.93	F = n11 ; FN = n8 ; n11 = n9 | n10 ; n10 = cN & n5 ; n9 = dN & n2 ; n8 = n3 | n7 ; n7 = bN & n6 ; n6 = n0 | n4 ; n5 = bN & d ; n4 = cN & dN ; n3 = d & n2 ; n2 = b | n1 ; n1 = aN & c ; n0 = a & c
03de	sat	12	146.47	F = n9 ; FN = n11 ; n11 = n7 | n10 ; n10 = n5 & n6 ; n9 = n4 & n8 ; n8 = n5 | n6 ; n7 = n0 & n3 ; n6 = b | c ; n5 = d | n1 ; n4 = n0 | n3 ; n3 = dN & n2 ; n2 = aN | b ; n1 = a & bN ; n0 = bN & cN
03ea	sat	12	192.58	F = n11 ; FN = n5 ; n11 = n8 | n10 ; n10 = dN & n9 ; n9 = a | n6 ; n8 = d & n7 ; n7 = bN & cN ; n6 = b & c ; n5 = n3 & n4 ; n4 = b | n2 ; n3 = d | n1 ; n2 = c | dN ; n1 = aN & n0 ; n0 = bN | cN
03ee	sat	10	12.72	F = n9 ; FN = n6 ; n9 = n4 | n8 ; n8 = bN & n7 ; n7 = cN & d ; n6 = n2 | n5 ; n5 = aN & n1 ; n4 = dN & n3 ; n3 = a | b ; n2 = d & n0 ; n1 = bN & dN ; n0 = b | c
03fc	sat	8	0.30	F = n7 ; FN = n5 ; n7 = n1 & n6 ; n6 = dN | n2 ; n5 = n3 & n4 ; n4 = d | n2 ; n3 = dN | n0 ; n2 = bN & cN ; n1 = d | n0 ; n0 = b | c
